day,p05,p25,p50,p75,p95,mean
0,95.42,95.42,95.42,95.42,95.42,95.41999999999997
1,89.79058953661193,93.04662170885962,95.27827814367407,97.57668955218898,101.13766690947291,95.35745534870753
2,87.41825572805219,92.03270861678268,95.19506030225949,98.55263966010727,103.76383101982847,95.35482884837704
3,85.52500812769969,91.23587621333294,95.18645305180969,99.35797458077387,105.87919372233506,95.39438813866691
4,84.00249927176807,90.6230768645184,95.13532384295809,99.9132853040899,107.56035483051757,95.419153124453
5,82.45040852462031,90.0065911199722,95.09640583443574,100.51441556555233,109.34844650654126,95.41662281773972
6,81.28795067519607,89.40386592679165,95.0246040487933,101.02333150748578,110.92431911771293,95.45261157253671
7,80.1558849105655,88.94737828786776,95.01469616097131,101.4746449790993,112.21846175766326,95.46756500180776
8,79.15730027109602,88.5062741405622,94.97920913099644,101.884288382001,113.52107049275209,95.53232899773899
9,78.28464282056652,88.01959149233251,94.8894444984617,102.29459043803269,114.63247625738293,95.50468082877842
10,77.24646761283876,87.62206143916609,94.82579100895828,102.72063045687194,115.70306952291115,95.47207059796067
11,76.48757341268893,87.10520510695422,94.82763335466998,102.97005664268391,116.56730219594864,95.4615420718478
12,75.82304444402537,86.71745950193555,94.72550105586117,103.4505065915416,117.8225645795462,95.51227363479188
13,75.26675036131678,86.36296546198258,94.75711205937664,103.66041752378584,118.856477515171,95.56047242908356
14,74.56462529733014,86.07753808151502,94.76113494202531,103.9517349021481,119.69491092828666,95.60072803642058
15,73.62399546037354,85.65455630263997,94.60767250281773,104.3395150701767,120.62631478198217,95.61177545263942
16,73.0348064104938,85.34295242409243,94.6052235600669,104.6103830142687,121.5198196936237,95.58244658670675
17,72.36671669467995,84.91566862958562,94.55831768254882,104.89978399340055,122.49374152444794,95.62450234483532
18,71.78978678958815,84.70869622529159,94.55653717781034,105.27661029335674,123.65423314778357,95.6900100134368
19,71.13563903624714,84.37015088140251,94.48049954462304,105.59004086239563,124.59296816434379,95.71326419165806
20,70.61974874225587,84.05875219240683,94.42691490598857,105.95596032395852,125.61285309343157,95.75790458636389
21,69.9704495435287,83.60453201133095,94.32565078368927,106.0018293744446,126.4022470557672,95.70769651945807
22,69.37595034644681,83.29812286973018,94.26863465348234,106.24144594441515,126.94319544205618,95.69120971483842
23,68.87011742635231,82.94110190284314,94.19613721124779,106.47742977190356,127.34373124181442,95.66407163865833
24,68.15651474273155,82.67804148346326,94.05689372453733,106.7063943586273,128.1586595449971,95.63536934352436
25,67.67102449235435,82.43392494721729,94.00890572506935,107.04851302403169,129.46850796752125,95.66376783164513
26,67.36182790525967,82.13893941841819,93.90915851832449,107.1538645320039,130.23241410538265,95.62785293338392
27,66.91103314741036,81.83535853730612,93.78711115339,107.28948480813914,130.55860173515234,95.63320037884196
28,66.40905106199895,81.63084061213122,93.82535999499183,107.61082703788875,131.235657839363,95.64755896110019
29,66.0830257782539,81.34257720019664,93.6466102604786,107.80480988498442,131.86143703236203,95.6663666007033
30,65.52323653630314,80.9909538237574,93.65054708504108,107.96690011289671,132.88663418362088,95.6520034185957
31,65.05745160420811,80.73404628717364,93.59472467686224,108.09881792424636,133.39977423949912,95.66948809286546
32,64.62453646823502,80.60205742472075,93.58281041002788,108.26681969776665,133.96369043658817,95.66432940083676
33,64.04931758412175,80.41078992545884,93.30509593228714,108.44449706705694,134.69323030050595,95.63381081805304
34,63.68252733562175,80.17615253413146,93.28972103002044,108.64298741176229,135.35553649785714,95.64200517557047
35,63.29418998434511,79.8534263084847,93.28800196892476,108.70715821221732,135.88684257059157,95.65014507622142
36,63.051702049907014,79.6506363303393,93.33193198248944,108.96775713020942,136.74261236791995,95.70303197568823
37,62.77951362189788,79.402358865259,93.242719334647,109.01830044756986,137.40612275964776,95.72794326591075
38,62.36761729564162,79.13540850120712,93.1709580046861,109.08459705010986,138.17775294207863,95.72181977544697
39,61.938898070330744,78.90085453513018,93.17564520496406,109.38967129582582,138.9667638137887,95.7426672489773
40,61.434045819588725,78.61738389903908,93.06070082772754,109.43881783194023,139.6378171209479,95.7188512321951
41,61.17300644865162,78.48133478151595,92.94344773594823,109.60423549343855,140.06749422670762,95.72688376615005
42,60.63821960718613,78.30201526785177,92.87129883685851,109.76761980186168,140.35188297660616,95.69537563743529
43,60.15729135250346,78.05406102442389,92.84765284368659,109.9601097800525,140.9498261668012,95.70201968449214
44,59.959984792117496,77.73116165795274,92.73579882276005,110.09539360295527,141.78877601078977,95.68796307894192
45,59.555873140717736,77.48770007486083,92.62194025097546,110.3727511079966,142.35326908157515,95.69024609914217
46,59.33309980674141,77.21364302896168,92.63718994647496,110.63002876322096,142.87715846615242,95.73548462008142
47,59.20660906746504,77.11826113803701,92.46405483371157,110.80830748932904,143.5809404175814,95.77890950496604
48,58.67649027177195,76.91456804281869,92.40264384860207,111.13629951040589,144.3973665475022,95.77706382597012
49,58.522932878445516,76.46380034214017,92.33799988963654,111.06683844159369,144.47898111885436,95.75146791675184
50,58.14657008723191,76.39263075913148,92.26011931449236,111.31129695370745,145.34153233314774,95.76731141649557
51,57.825703475176766,76.14165826782558,92.24260152756605,111.54678791193277,146.1516644706439,95.8200299106149
52,57.55710792238247,76.00821008363138,92.10103709652599,111.62760910385967,146.72050627433458,95.86483057530218
53,57.35567889798676,75.74080525933596,92.03175393923624,111.48261220718958,147.76672702227626,95.86481036615776
54,56.95120010215811,75.61416083254375,91.94687626291622,111.64606300638248,148.42793030814235,95.90143105003725
55,56.81441543890733,75.32276759704685,91.78643703749046,111.77303108744232,148.97867217559605,95.86712437323334
56,56.38426800182939,75.187623608226,91.77946831471492,111.78435254974814,148.97457852242846,95.86475496951888
57,56.22064871477728,74.75176654423332,91.64255653880616,111.84304197962014,149.82162142595456,95.86619971740434
58,55.751120214899046,74.80734206690352,91.58304948122083,112.12862041764788,150.71505468506228,95.90438288078514
59,55.30141289901231,74.6004057195808,91.43137047196595,112.25625928757783,151.2759883571927,95.8418151195217
60,55.16890063398857,74.60574466671645,91.39558646090097,112.19231037246382,152.05642948379437,95.79727642058421
61,54.96692678453331,74.47642725185719,91.27857675539475,112.33926839698029,152.20840893967755,95.76438920499167
62,54.718250815236956,74.20288681356499,91.11221137772567,112.46433287841053,152.33255424405743,95.80829166262576
63,54.402959416834605,74.16246520626683,91.17310174142744,112.67463607415195,152.80043327998985,95.80781834239556
64,54.29081798659153,73.84776594459213,91.02766571540576,112.59223359360357,153.5953777435712,95.84161611536554
65,53.7347089452747,73.64684746449089,91.04218530216241,112.5630122294537,154.08951866134277,95.83200325781831
66,53.59030930165728,73.45942308546377,90.9444582439084,112.8161513207533,154.63635818135495,95.80150068250448
67,53.26084220247602,73.19179959475237,90.84545012273853,113.15641567013458,154.9035622807594,95.82830208744684
68,53.034307710818844,73.06119340727473,90.63227935861988,112.8876488716313,155.8514837658725,95.79159728941026
69,52.81331003104056,72.87908234030022,90.75935457529681,113.15675574113244,156.3500565749952,95.79781103130182
70,52.582276387319006,72.72958478737353,90.7339270736022,113.32304893302992,156.8604222094197,95.86581604323224
71,52.38485590555863,72.57324348453861,90.6549143282146,113.37085226530809,157.1741822333937,95.81676825038984
72,52.1043827727312,72.42076157400942,90.67263661155002,113.35201719662061,157.63547738914662,95.80487844558037
73,51.901684218934655,72.18666896255223,90.63366506187577,113.2839215485212,158.10505141414083,95.82264703891184
74,51.59746742373911,72.01809579002136,90.52044806727041,113.33726406616124,158.38161829967524,95.80792107952966
75,51.490727753384924,71.93058002592016,90.50035401247453,113.4238340494615,158.63471173820795,95.80083238937443
76,51.13399935604708,71.79698232954647,90.40283378426221,113.36750810333666,159.39405313352722,95.76880579161686
77,51.010408433399334,71.64306497386778,90.33540719814654,113.59729164062489,159.13130980597248,95.77508618417129
78,50.67073120071482,71.5137412706082,90.11699692024311,113.67567643214525,160.00330250301474,95.77336867123745
79,50.53969544957267,71.18620947296716,90.21024695510786,113.76554025398741,160.82376058719584,95.75840766387172
80,50.20312105910715,70.97981438221976,90.01914728628014,114.01158242637541,161.05606717709043,95.77774850818818
81,49.9629130286158,71.00941225170911,90.06453834722043,113.94572358651746,161.14644969555044,95.77201331614013
82,49.7143863747283,70.88905345952041,89.87423691566727,114.06195973802534,161.96257727062672,95.74673264442013
83,49.5069555062105,70.48394646167134,89.82415291503749,113.9948931276544,162.5895521305989,95.73583549119353
84,49.33148783259008,70.35101834488742,89.62268085992582,113.996543729796,163.12459447004272,95.73639172063778
85,49.1438458264845,70.25507944980122,89.66497636790348,113.98480258212993,163.73083744946044,95.74758603495688
86,48.85598990343394,70.14737026219026,89.54360921572993,114.17676258733697,163.7801375183762,95.75132521053762
87,48.76176497251625,69.94502379576379,89.66603099773083,114.27236814511787,164.36175075861485,95.79600212169144
88,48.402732528729324,69.84979786254115,89.6549423751591,114.61831061100057,164.57871526378398,95.82547317078347
89,48.05050889878805,69.81877425501669,89.85715188311111,114.46211017659525,164.68384763359035,95.83364412022286
90,48.118425205903215,69.57463012564529,89.72032853410724,114.62555142048633,165.54697089760273,95.88639611091834
91,48.002124044204365,69.20504747250439,89.49085434243216,114.68541957706978,165.68453514954354,95.81100020015568
92,47.77733202361308,69.12104142068627,89.30149633422914,114.7336123939547,166.11275974439528,95.80344769840075
93,47.764685781072274,69.08037865739169,89.16868386275902,114.7772442073442,166.3107639807591,95.79594965465671
94,47.430377663744814,68.9482142534955,89.22060147242115,115.15278062743343,166.93360784817767,95.77657002425047
95,47.30343752755591,68.69565363987059,89.19215835635447,115.17200931527212,167.1185097965746,95.79245622146267
96,47.10844663852862,68.4808821611022,89.30786877449717,115.26359801051979,168.16438484073004,95.84330188843259
97,46.81519509616524,68.4988174147146,89.10876365264824,115.34854684959559,167.55027152287846,95.86614887843298
98,46.685752873455876,68.31491123722189,88.85110846136283,115.51084711961566,168.90275631760633,95.85907904760425
99,46.45799906667212,68.1833094915182,88.9346509226876,115.52957690729477,169.02684658915575,95.8161210261516
100,46.43360448521022,68.04786645289205,88.7881685965504,115.37632969179384,169.69498009249588,95.82966475413606
101,46.27590174874722,67.8217492668131,88.69147853415305,115.44824932735033,170.15661288670677,95.84678048514684
102,46.07972163054246,67.71525073017737,88.64563635729424,115.36787621974977,170.87656687011878,95.88681636988278
103,45.8177584034235,67.57459739244729,88.72712150986038,115.67192253957535,171.931693271088,95.91418248522035
104,45.655680082276284,67.49325462128684,88.64861066968368,115.54013389282005,172.71238247534188,95.91617959265764
105,45.513104290668,67.18426804256887,88.69629422137167,115.96453865746615,173.34022929423853,95.95783839599203
106,45.353793844549315,67.12288483929856,88.57404555452862,116.40765817582978,173.7265193231223,95.92085001481686
107,45.17600416100593,66.87559867725393,88.3432099543767,116.3255763577045,173.98415773246197,95.91960761419607
108,45.10698981779595,66.85868172414403,88.19569903005137,116.55615855634305,174.81194074674488,95.9748444990435
109,44.929739780102565,66.6988703801861,88.14815588295744,116.42162767331249,174.7336747053284,95.94871397881975
110,44.88584512596071,66.41416762176533,88.27441970296763,116.4341011387411,175.54066033835423,96.00101423927168
111,44.743847719418994,66.18405162635224,88.30192996437827,116.5600402834294,175.09270513460504,95.99061812411588
112,44.47743048667664,66.15529091354543,88.12483128404934,116.61171539253692,176.13705956164702,96.04418409540968
113,44.455619159233784,65.97430984849093,88.02301725357205,116.73420746498444,175.98263738958528,96.10575585508502
114,44.05093181710831,65.96708491695493,88.08796221417236,117.1310537777984,176.57620318924748,96.1336058712953
115,44.03068117573745,65.88525684484091,87.97156263152584,116.91796506946514,177.09662097547573,96.10536920060548
116,43.82639711054186,65.87979445517539,87.7155761306474,117.22538968644908,177.64469475996333,96.12818401366461
117,43.701556251777504,65.75207246443422,87.68974745209496,117.088846586864,177.9596084077704,96.1365476582623
118,43.35139795991979,65.68203760783891,87.82741923891157,117.02022856721592,178.6094867484195,96.1778564542684
119,43.29342176719429,65.54284034672327,87.72076672132947,117.17617349501131,179.6301598075697,96.24318878834927
120,43.19463187160842,65.38585727413425,87.50276393993093,117.19003336393041,179.88230644050194,96.26506678111487
121,43.08134436985607,65.29159460790946,87.45119563917137,117.23528774855166,179.80393786870584,96.26031852741866
122,42.752529172175485,65.20441119142612,87.4721852255491,117.17819127845613,180.23242066099144,96.27657391504339
123,42.61263109875949,65.0483854158627,87.40250113939251,117.19373947103014,181.1065068017182,96.28536557323449
124,42.49181108629262,64.85532455811122,87.18040122779493,117.4367227905467,181.39179236344552,96.33453715970944
125,42.38161239891347,64.81747640700372,87.12028010636497,117.50046738069827,181.7389079520851,96.35547091148445
126,42.1128904877391,64.83361468340499,87.18766844823438,117.67434153947092,182.3128867153537,96.34993948868261
127,42.160098716060396,64.59086279985723,87.09350986183661,117.51892375972419,182.24260137506067,96.3034918084098
128,41.8685692866521,64.59124490767158,87.04032415717988,117.93510286533511,182.95861539036127,96.37105733287024
129,41.81800395794026,64.3890227196559,86.86693876445014,117.72111735203153,183.9828342631797,96.32523775958302
130,41.6607832331219,64.12999687006837,86.78435770223456,117.93879399540812,184.66685046088358,96.35498284760406
131,41.443635032584226,64.04205684785627,86.89511705548578,117.86569918316245,185.2308057697779,96.39278314457532
132,41.24481670010174,63.73501210274669,86.84345692370366,117.89496515362731,185.8066318656092,96.40513949354754
133,41.2107430096304,63.477074115465946,86.90191038649942,117.95236267608169,185.76596808562235,96.38708300170875
134,41.2071712970597,63.44486939313839,86.72283010238493,118.25339336568094,185.81131616894658,96.37567820687704
135,40.95340572761222,63.261090673213374,86.65089011651698,118.15226862488144,186.47723036724085,96.37647100117765
136,40.85332081282853,63.2016381093109,86.6684786732092,118.42776814984256,186.38642349221533,96.35567677361166
137,40.849900033801866,63.06032247759748,86.67532971086018,118.4645004914472,186.62212007560967,96.39963409964473
138,40.62684364708514,63.061797302031394,86.67001783918633,118.51666138303106,187.05604107232847,96.4009965374034
139,40.54143941443002,62.944426729276124,86.55650042162799,118.64464673735547,187.26596133228156,96.4240047686699
140,40.407950125000326,62.56860228014065,86.20938904916238,118.73300046375454,186.87401793276683,96.39073901936347
141,40.26892815012703,62.532995725835114,86.37215818647283,118.71880302955284,188.19041298874942,96.45991884638325
142,39.87957846122751,62.43762690292666,86.14397925415383,118.78264156229815,188.2040752457223,96.42580210870928
143,39.86471294361812,62.50746196939834,86.02898219087571,119.1893734252761,188.08095639287086,96.48243200477619
144,39.88339510186232,62.34835982813823,86.05886726900196,119.25850689250274,188.44028858790256,96.48828368278589
145,39.63451919115642,62.19140201753979,86.09835988828,119.22063167833136,188.45405816868404,96.48929314471935
146,39.53144524990036,61.99439887375341,85.95140651869619,119.27099623174627,189.41782125404748,96.46879755165986
147,39.408102924729924,61.778640262294395,85.8249379639007,119.37975264712867,188.75003036966126,96.47413293327409
148,39.33568469754565,61.71285296786786,85.81038019934279,119.42665981048864,189.56372540877734,96.43955772512467
